GeographyKey,FirstName,MiddleName,LastName,MaritalStatus,Gender,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,NumberCarsOwned,CommuteDistance,Region,Age,AgeRegularBin,score
11,Tony,L,Xu,S,M,0,0,Bachelors,Clerical,0,0-1 Miles,Pacific,36,50,yes
13,Bryant,S,Sai,M,M,0,0,Bachelors,Clerical,0,0-1 Miles,Pacific,37,50,yes
37,Juan,P,Vazquez,S,M,0,0,High School,Manual,2,0-1 Miles,Pacific,39,50,yes
13,Kara,A,Lal,S,F,1,1,High School,Manual,0,1-2 Miles,Pacific,41,50,yes
23,Alexis,A,Long,S,F,1,1,High School,Manual,0,1-2 Miles,Pacific,38,50,yes
19,Theresa,F,Vazquez,M,F,0,0,Bachelors,Clerical,0,0-1 Miles,Pacific,38,50,yes
27,Evelyn,D,Madan,S,F,0,0,Bachelors,Clerical,0,0-1 Miles,Pacific,37,50,yes
25,Troy,R,Sara,S,M,0,0,Partial College,Manual,0,1-2 Miles,Pacific,40,50,yes
211,Meagan,A,Lopez,S,F,1,1,Partial College,Manual,0,1-2 Miles,Europe,56,65,no
144,Kelvin,A,He,S,M,4,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,56,65,yes
279,Derek,T,Shen,M,M,3,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,56,65,yes
150,Gina,C,Alonso,S,F,1,1,Partial College,Manual,0,0-1 Miles,Europe,57,65,yes
239,Teresa,D,Martin,S,F,1,1,Partial College,Manual,0,1-2 Miles,Europe,56,65,no
262,Cynthia,A,Suri,S,F,1,1,Partial College,Manual,0,1-2 Miles,Europe,57,65,no
171,Oscar,B,Hughes,M,M,2,0,Partial College,Manual,1,0-1 Miles,Europe,57,65,yes
147,Jon,G,Becker,S,M,1,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,59,65,yes
269,Lindsey,K,Anand,S,F,3,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,57,65,yes
190,Thomas,C,Johnson,S,M,3,0,Bachelors,Clerical,0,0-1 Miles,Europe,57,65,yes
231,Gabriella,S,James,M,F,3,0,Bachelors,Clerical,0,0-1 Miles,Europe,56,65,yes
180,Nicolas,W,Xie,M,M,3,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,57,65,yes
248,Omar,A,Xu,M,M,0,0,Bachelors,Clerical,0,0-1 Miles,Europe,58,65,yes
140,Rachael,V,Chandra,M,F,0,0,Bachelors,Clerical,0,0-1 Miles,Europe,58,65,yes
163,Donald,A,Sanchez,S,M,0,0,Bachelors,Clerical,0,0-1 Miles,Europe,58,65,yes
244,Philip,A,Gill,M,M,3,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,58,65,yes
241,Maurice,L,Kumar,S,M,1,0,Bachelors,Clerical,0,0-1 Miles,Europe,59,65,yes
183,Aimee,A,Gao,M,F,1,0,Bachelors,Clerical,0,0-1 Miles,Europe,59,65,yes
275,Kelli,A,Andersen,S,F,2,2,High School,Manual,0,0-1 Miles,Europe,46,50,yes
189,Autumn,A,He,S,F,2,2,High School,Manual,0,0-1 Miles,Europe,47,50,yes
243,Wyatt,V,Simmons,S,M,0,0,Partial College,Manual,1,2-5 Miles,Europe,47,50,yes
273,Derrick,R,Schmidt,S,M,0,0,Partial College,Manual,1,1-2 Miles,Europe,47,50,yes
149,Alfredo,C,Hernandez,S,M,0,0,Partial College,Manual,1,2-5 Miles,Europe,47,50,yes
