GeographyKey,FirstName,MiddleName,LastName,MaritalStatus,Gender,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer,AgeRegularBin
11.0,Tony,L,Xu,S,M,0.0,0.0,Bachelors,Clerical,0.0,0-1 Miles,Pacific,36.0,1,50.0
13.0,Bryant,S,Sai,M,M,0.0,0.0,Bachelors,Clerical,0.0,0-1 Miles,Pacific,37.0,1,50.0
37.0,Juan,P,Vazquez,S,M,0.0,0.0,High School,Manual,2.0,0-1 Miles,Pacific,39.0,1,50.0
13.0,Kara,A,Lal,S,F,1.0,1.0,High School,Manual,0.0,1-2 Miles,Pacific,41.0,1,50.0
23.0,Alexis,A,Long,S,F,1.0,1.0,High School,Manual,0.0,1-2 Miles,Pacific,38.0,1,50.0
19.0,Theresa,F,Vazquez,M,F,0.0,0.0,Bachelors,Clerical,0.0,0-1 Miles,Pacific,38.0,1,50.0
27.0,Evelyn,D,Madan,S,F,0.0,0.0,Bachelors,Clerical,0.0,0-1 Miles,Pacific,37.0,1,50.0
25.0,Troy,R,Sara,S,M,0.0,0.0,Partial College,Manual,0.0,1-2 Miles,Pacific,40.0,1,50.0
211.0,Meagan,A,Lopez,S,F,1.0,1.0,Partial College,Manual,0.0,1-2 Miles,Europe,56.0,0,65.0
144.0,Kelvin,A,He,S,M,4.0,0.0,Graduate Degree,Clerical,0.0,0-1 Miles,Europe,56.0,1,65.0
279.0,Derek,T,Shen,M,M,3.0,0.0,Graduate Degree,Clerical,0.0,0-1 Miles,Europe,56.0,1,65.0
150.0,Gina,C,Alonso,S,F,1.0,1.0,Partial College,Manual,0.0,0-1 Miles,Europe,57.0,1,65.0
239.0,Teresa,D,Martin,S,F,1.0,1.0,Partial College,Manual,0.0,1-2 Miles,Europe,56.0,0,65.0
262.0,Cynthia,A,Suri,S,F,1.0,1.0,Partial College,Manual,0.0,1-2 Miles,Europe,57.0,0,65.0
171.0,Oscar,B,Hughes,M,M,2.0,0.0,Partial College,Manual,1.0,0-1 Miles,Europe,57.0,1,65.0
147.0,Jon,G,Becker,S,M,1.0,0.0,Graduate Degree,Clerical,0.0,0-1 Miles,Europe,59.0,1,65.0
269.0,Lindsey,K,Anand,S,F,3.0,0.0,Graduate Degree,Clerical,0.0,0-1 Miles,Europe,57.0,1,65.0
190.0,Thomas,C,Johnson,S,M,3.0,0.0,Bachelors,Clerical,0.0,0-1 Miles,Europe,57.0,1,65.0
231.0,Gabriella,S,James,M,F,3.0,0.0,Bachelors,Clerical,0.0,0-1 Miles,Europe,56.0,1,65.0
180.0,Nicolas,W,Xie,M,M,3.0,0.0,Graduate Degree,Clerical,0.0,0-1 Miles,Europe,57.0,1,65.0
248.0,Omar,A,Xu,M,M,0.0,0.0,Bachelors,Clerical,0.0,0-1 Miles,Europe,58.0,1,65.0
140.0,Rachael,V,Chandra,M,F,0.0,0.0,Bachelors,Clerical,0.0,0-1 Miles,Europe,58.0,1,65.0
