CustomerKey,GeographyKey,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance,Region,Age,BikeBuyer
22576,11,NULL,Tony,L,Xu,0,1980-12-24,S,NULL,M,tony8@adventure-works.com,20000.00,0,0,Bachelors,Clerical,0,0,8489 Barbie Dr.,NULL,1 (11) 500 555-0154,2006-11-02,0-1 Miles,Pacific,36,1
22577,13,NULL,Bryant,S,Sai,0,1980-06-02,M,NULL,M,bryant6@adventure-works.com,20000.00,0,0,Bachelors,Clerical,1,0,8500 Byers Rd.,NULL,1 (11) 500 555-0180,2006-11-30,0-1 Miles,Pacific,37,1
22578,37,NULL,Juan,P,Vazquez,0,1977-10-12,S,NULL,M,juan3@adventure-works.com,10000.00,0,0,High School,Manual,0,2,2736 Scottsdale Rd,NULL,1 (11) 500 555-0182,2006-11-10,0-1 Miles,Pacific,39,1
22579,13,NULL,Kara,NULL,Lal,0,1976-04-17,S,NULL,F,kara9@adventure-works.com,10000.00,1,1,High School,Manual,0,0,7340 Pine Creek Way,NULL,1 (11) 500 555-0174,2006-11-17,1-2 Miles,Pacific,41,1
22580,23,NULL,Alexis,NULL,Long,0,1979-04-07,S,NULL,F,alexis32@adventure-works.com,10000.00,1,1,High School,Manual,0,0,3376 Jacaranda Dr.,NULL,1 (11) 500 555-0174,2006-11-03,1-2 Miles,Pacific,38,1
22581,19,NULL,Theresa,F,Vazquez,0,1979-08-20,M,NULL,F,theresa10@adventure-works.com,20000.00,0,0,Bachelors,Clerical,0,0,5227 Sutton Circle,NULL,1 (11) 500 555-0116,2006-11-11,0-1 Miles,Pacific,38,1
22582,27,NULL,Evelyn,D,Madan,0,1979-11-17,S,NULL,F,evelyn8@adventure-works.com,20000.00,0,0,Bachelors,Clerical,0,0,8162 Zacatecas,NULL,1 (11) 500 555-0137,2006-11-07,0-1 Miles,Pacific,37,1
22583,25,NULL,Troy,R,Sara,0,1977-08-12,S,NULL,M,troy11@adventure-works.com,20000.00,0,0,Partial College,Manual,1,0,1002 N. Spoonwood Court,NULL,1 (11) 500 555-0139,2006-11-16,1-2 Miles,Pacific,40,1
22584,211,NULL,Meagan,NULL,Lopez,0,1961-04-05,S,NULL,F,meagan16@adventure-works.com,20000.00,1,1,Partial College,Manual,1,0,"36, rue de Berri",NULL,1 (11) 500 555-0135,2007-12-28,1-2 Miles,Europe,56,0
22585,144,NULL,Kelvin,A,He,0,1961-07-20,S,NULL,M,kelvin37@adventure-works.com,30000.00,4,0,Graduate Degree,Clerical,0,0,Alderweg 1849,NULL,1 (11) 500 555-0157,2007-11-29,0-1 Miles,Europe,56,1
22586,279,NULL,Derek,T,Shen,0,1961-01-07,M,NULL,M,derek2@adventure-works.com,30000.00,3,0,Graduate Degree,Clerical,0,0,7884 Power Ave.,NULL,1 (11) 500 555-0174,2008-05-29,0-1 Miles,Europe,56,1
22587,150,NULL,Gina,C,Alonso,0,1960-06-25,S,NULL,F,gina8@adventure-works.com,20000.00,1,1,Partial College,Manual,0,0,Kapellstr 4924,NULL,1 (11) 500 555-0114,2007-11-02,0-1 Miles,Europe,57,1
22588,239,NULL,Teresa,D,Martin,0,1960-10-17,S,NULL,F,teresa1@adventure-works.com,20000.00,1,1,Partial College,Manual,1,0,9608 Grammercy Lane,NULL,1 (11) 500 555-0191,2008-01-10,1-2 Miles,Europe,56,0
22589,262,NULL,Cynthia,NULL,Suri,0,1960-04-01,S,NULL,F,cynthia4@adventure-works.com,20000.00,1,1,Partial College,Manual,1,0,1075 San Miguel Circle,NULL,1 (11) 500 555-0167,2008-02-28,1-2 Miles,Europe,57,0
